epoch_s,t_s,altitude_m
1789596900.58,61.42,2.1875
1789596900.78,61.62,2.1870
1789596900.98,61.82,2.1865
1789596901.18,62.02,2.1863
1789596901.38,62.22,2.1862
1789596901.58,62.42,2.1863
1789596901.78,62.62,2.1865
1789596901.98,62.82,2.1871
1789596902.18,63.02,2.1876
1789596902.38,63.22,2.1883
1789596902.58,63.42,2.1889
1789596902.78,63.62,2.1896
1789596902.98,63.82,2.1905
1789596903.18,64.02,2.1911
1789596903.38,64.22,2.1915
1789596903.58,64.42,2.1900
1789596903.78,64.62,2.1842
1789596903.98,64.82,2.1762
1789596904.18,65.02,2.1601
1789596904.38,65.22,2.1376
1789596904.58,65.42,2.1093
1789596904.78,65.62,2.0681
1789596904.98,65.82,2.0224
1789596905.18,66.02,1.9834
1789596905.38,66.22,1.9226
1789596905.58,66.42,1.8809
1789596905.78,66.62,1.8281
1789596905.98,66.82,1.7647
1789596906.18,67.02,1.7121
1789596906.38,67.22,1.6598
1789596906.58,67.42,1.6078
1789596906.78,67.62,1.5562
1789596906.98,67.82,1.5052
1789596907.18,68.02,1.4544
1789596907.38,68.22,1.4039
1789596907.58,68.42,1.3537
1789596907.78,68.62,1.3036
1789596907.98,68.82,1.2536
1789596908.18,69.02,1.2035
1789596908.38,69.22,1.1537
1789596908.58,69.42,1.1139
1789596908.78,69.62,1.0544
1789596908.98,69.82,1.0048
1789596909.18,70.02,0.9553
1789596909.38,70.22,0.9055
1789596909.58,70.42,0.8556
1789596909.78,70.62,0.8057
1789596909.98,70.82,0.7659
1789596910.18,71.02,0.7060
1789596910.38,71.22,0.6562
1789596910.58,71.42,0.6064
1789596910.78,71.62,0.5568
1789596910.98,71.82,0.5171
1789596911.18,72.02,0.4673
1789596911.38,72.22,0.4177
1789596911.58,72.42,0.3779
1789596911.78,72.62,0.3278
1789596911.98,72.82,0.2877
1789596912.18,73.02,0.2376
1789596912.38,73.22,0.1975
1789596912.58,73.42,0.1948
1789596912.78,73.62,0.1949
1789596912.98,73.82,0.1949
1789596913.18,74.02,0.1950
1789596913.38,74.22,0.1950
1789596913.58,74.42,0.1950
1789596913.78,74.62,0.1950
1789596913.98,74.82,0.1950
1789596914.18,75.02,0.1950
1789596914.38,75.22,0.1950
1789596914.58,75.42,0.1950
1789596914.78,75.62,0.1950
1789596914.99,75.83,0.1950
1789596915.18,76.02,0.1950
1789596915.38,76.22,0.1950
1789596915.58,76.42,0.1950
1789596915.78,76.62,0.1950
1789596915.98,76.82,0.1950
1789596916.18,77.02,0.1950
1789596916.38,77.22,0.1950
1789596916.58,77.42,0.1950
1789596916.78,77.62,0.1950
1789596916.98,77.82,0.1950
1789596917.18,78.02,0.1950
1789596917.38,78.22,0.1950
1789596917.58,78.42,0.1950
1789596917.78,78.62,0.1950
1789596917.98,78.82,0.1950
1789596918.18,79.02,0.1950
1789596918.38,79.22,0.1950
1789596918.58,79.42,0.1950
1789596918.78,79.62,0.1950
1789596918.98,79.82,0.1950
1789596919.18,80.02,0.1950
1789596919.38,80.22,0.1950
1789596919.58,80.42,0.1950
1789596919.78,80.62,0.1950
1789596919.98,80.82,0.1950
